analysis_set,dataset,dataset_short,subject_index,n_obs,best_AIC,best_BIC,runnerup_delta_BIC,max_BIC_weight,NLL_CostToSample,AIC_CostToSample,BIC_CostToSample,BIC_weight_CostToSample,NLL_CutOff,AIC_CutOff,BIC_CutOff,BIC_weight_CutOff,NLL_BiasedPrior,AIC_BiasedPrior,BIC_BiasedPrior,BIC_weight_BiasedPrior
all_datasets,Facial attractiveness dataset 1,face_1,1,174,Biased prior,Biased prior,3.56832530615907,0.856209861431832,42.5616774202874,89.1233548405747,95.4414654390038,0.14378984994063,55.680403774688,115.360807549376,121.678918147805,2.88627538216126e-07,40.7775147672078,85.5550295344156,91.8731401328447,0.856209861431832
all_datasets,Facial attractiveness dataset 1,face_1,2,167,Biased prior,Biased prior,13.9404001058529,0.999060595256188,43.4143992177239,90.8287984354477,97.0647860602812,0.000938582406498831,50.4543744884309,104.908748976862,111.144736601695,8.22337312770748e-07,36.4441991647974,76.8883983295948,83.1243859544283,0.999060595256188
all_datasets,Facial attractiveness dataset 1,face_1,3,146,Biased prior,Biased prior,17.7613241968671,0.99986096719304,33.845168048493,71.690336096986,77.6575493404027,0.000139032736120136,48.3349644135331,100.669928827066,106.637142070483,7.08399856242547e-11,24.9645059500595,53.929011900119,59.8962251435356,0.99986096719304
all_datasets,Facial attractiveness dataset 1,face_1,4,175,Biased prior,Biased prior,9.92597044121204,0.993055644598625,37.3366653365147,78.6733306730295,85.0029026208765,0.00694346881381519,46.3025974819687,96.6051949639375,102.934766911785,8.8658756013625e-07,32.3736801159087,68.7473602318174,75.0769321796645,0.993055644598625
all_datasets,Facial attractiveness dataset 1,face_1,5,161,Biased prior,Biased prior,12.0636996006624,0.997604702807872,48.3504269829062,100.700853965812,106.863662695781,0.00239529718352788,67.7954239956947,139.590847991389,145.753656721358,8.60011979061078e-12,42.3185771825751,88.6371543651501,94.799963095119,0.997604702807872
all_datasets,Facial attractiveness dataset 1,face_1,6,140,Biased prior,Biased prior,4.45155934573711,0.902538777170831,43.0151976166256,90.0303952332512,95.9136800784698,0.0974590200830611,53.7126800657143,111.425360131429,117.308644976647,2.20274610760861e-06,40.789417943757,85.5788358875141,91.4621207327327,0.902538777170831
all_datasets,Facial attractiveness dataset 1,face_1,7,153,Biased prior,Biased prior,5.74889084641237,0.946568524985595,40.2731310708188,84.5462621416376,90.6071379844224,0.0534313655358259,53.3713106639838,110.742621327968,116.803497170753,1.09478579368672e-07,37.3986856476126,78.7973712952252,84.8582471380101,0.946568524985595
all_datasets,Facial attractiveness dataset 1,face_1,8,162,Biased prior,Biased prior,5.30978483650303,0.899206215013475,45.778577212576,95.5571544251519,101.732347095617,0.0375738314032114,45.2582650747728,94.5165301495456,100.69172282001,0.0632199535833133,42.6033726565213,89.2067453130426,95.3819379835073,0.899206215013475
all_datasets,Facial attractiveness dataset 1,face_1,9,212,Biased prior,Biased prior,1.16224208876534,0.641325317818689,19.9940607734404,43.9881215468809,50.7012940962249,0.358674682181311,56.7243974654487,117.448794930897,124.161967480242,4.00791200940935e-17,19.4129397290578,42.8258794581155,49.5390520074595,0.641325317818689
all_datasets,Facial attractiveness dataset 1,face_1,10,150,Biased prior,Biased prior,2.26005952800062,0.755825772843576,43.8128018233025,91.6256036466049,97.6468742347974,0.244149593712796,53.0142332119894,110.028466423979,116.049737012171,2.46334436275306e-05,42.6827720593021,89.3655441186043,95.3868147067968,0.755825772843576
all_datasets,Facial attractiveness dataset 1,face_1,11,165,Biased prior,Biased prior,10.9148195182918,0.995739473464775,42.2178677033407,88.4357354066813,94.6476263544825,0.00424641837098656,47.9249452199286,99.8498904398571,106.061781387658,1.41081642380597e-05,36.7604579441948,77.5209158883896,83.7328068361908,0.995739473464775
