analysis_set,dataset,dataset_short,subject_index,n_obs,best_AIC,best_BIC,runnerup_delta_BIC,max_BIC_weight,NLL_CostToSample,AIC_CostToSample,BIC_CostToSample,BIC_weight_CostToSample,NLL_CutOff,AIC_CutOff,BIC_CutOff,BIC_weight_CutOff,NLL_BiasedPrior,AIC_BiasedPrior,BIC_BiasedPrior,BIC_weight_BiasedPrior
match_trust_all,Matchmaker dataset,matchmaker,1,186,Biased prior,Biased prior,21.960750089463,0.99998296750828,39.7906972326571,83.5813944653142,90.0328878127406,1.70324181919122e-05,52.1436601321674,108.287320264335,114.738813611761,7.35279891909565e-11,28.8103221879256,61.6206443758513,68.0721377232777,0.99998296750828
match_trust_all,Matchmaker dataset,matchmaker,2,167,Biased prior,Biased prior,5.44029676042288,0.938199601304422,49.916612241574,103.833224483148,110.069212107981,0.0617944985778244,59.1732095523466,122.346419104693,128.582406729527,5.90011775350863e-06,47.1964638613625,98.3929277227251,104.628915347559,0.938199601304422
match_trust_all,Matchmaker dataset,matchmaker,3,127,Biased prior,Biased prior,2.3226626238237,0.761446399333416,54.3052108494514,112.610421698903,118.29879587182,0.238385347071826,61.5613822642379,127.122764528476,132.811138701393,0.000168253594758231,53.1438795375396,110.287759075079,115.976133247996,0.761446399333416
match_trust_all,Matchmaker dataset,matchmaker,4,157,Biased prior,Biased prior,18.6730091667265,0.999911475325557,44.0501839842981,92.1003679685961,98.2128595792927,8.81392055619943e-05,49.4823962437722,102.964792487544,109.077284098241,3.85468880809742e-07,34.7136794009348,73.4273588018696,79.5398504125663,0.999911475325557
match_trust_all,Matchmaker dataset,matchmaker,5,154,Biased prior,Biased prior,15.1433799354199,0.999485438156835,35.3861873632015,74.7723747264031,80.8462799312303,0.000514556773424698,46.9139589917826,97.8279179835652,103.901823188392,5.06974006156171e-09,27.8144973954916,59.6289947909831,65.7028999958104,0.999485438156835
match_trust_all,Matchmaker dataset,matchmaker,6,145,Biased prior,Biased prior,8.52007046383005,0.986074839078804,35.3958409082408,74.7916818164816,80.7451493013227,0.0139251564579529,50.349172932491,104.698345864982,110.651813349823,4.46324265801756e-09,31.1358056763258,66.2716113526515,72.2250788374927,0.986074839078804
match_trust_all,Matchmaker dataset,matchmaker,7,140,Biased prior,Biased prior,8.22080812104163,0.983863508807533,35.8686588819529,75.7373177639057,81.6206026091243,0.0161364891814997,51.7666366055395,107.533273211079,113.416558056298,2.01096750237365e-09,31.7582548214321,67.5165096428641,73.3997944880827,0.983863508807533
match_trust_all,Matchmaker dataset,matchmaker,8,151,Biased prior,Biased prior,3.95632254327329,0.878484897830292,41.4529647648318,86.9059295296636,92.9404892032934,0.12151496755952,55.1661296634293,114.332259326859,120.366819000488,1.34610187874552e-07,39.4748034931951,82.9496069863903,88.9841666600201,0.878484897830292
match_trust_all,Matchmaker dataset,matchmaker,9,123,Biased prior,Biased prior,3.23837746072627,0.83464656759602,55.2076829872148,114.41536597443,120.039734685174,0.165309526135875,63.4412008074207,130.882401614841,136.506770325586,4.39062681047792e-05,53.5884942568517,111.176988513703,116.801357224448,0.83464656759602
match_trust_all,Matchmaker dataset,matchmaker,10,106,Biased prior,Biased prior,1.52368864773831,0.681754020584095,38.1354757068569,80.2709514137137,85.5978296019379,0.318245976660575,56.7002737718596,117.400547543719,122.727425731943,2.75532964346406e-09,37.3736313829877,78.7472627659754,84.0741409541995,0.681754020584095
match_trust_all,Matchmaker dataset,matchmaker,11,167,Biased prior,Biased prior,4.63695368050088,0.910395766065717,27.5707715059069,59.1415430118138,65.3775306366473,0.0896042339239525,50.4543744884309,104.908748976862,111.144736601695,1.03301357760452e-11,25.2522946656565,54.5045893313129,60.7405769561464,0.910395766065717
match_trust_all,Matchmaker dataset,matchmaker,12,180,Cost to sample,Cost to sample,6.31061829769887,0.959117405481947,47.1672230928854,98.3344461857707,104.720359887551,0.959117405481947,66.8392839680941,137.678567936188,144.064481637969,2.74412750342986e-09,50.3225322417348,104.64506448347,111.03097818525,0.0408825917739259
match_trust_all,Matchmaker dataset,matchmaker,13,158,Cost to sample,Cost to sample,4.41412251627972,0.895284558889244,51.743182567844,107.486365135688,113.611555201742,0.895284558889244,53.9502438259839,111.900487651968,118.025677718022,0.0985023447531155,56.7136647984815,117.427329596963,123.552519663017,0.00621309635764061
match_trust_all,Matchmaker dataset,matchmaker,14,136,Biased prior,Biased prior,6.02741613259555,0.953178377513295,56.6018648217204,117.203729643441,123.029039414913,0.0468098660887103,64.8913164927289,133.782632985458,139.60794275693,1.17563979941698e-05,53.5881567554226,111.176313510845,117.001623282317,0.953178377513295
match_trust_all,Matchmaker dataset,matchmaker,15,158,Cost to sample,Cost to sample,2.26149110983475,0.754803810134153,53.8269164220472,111.653832844094,117.779022910148,0.754803810134153,60.0143611954867,124.028722390973,130.153912457027,0.00155117558890869,54.9576619769646,113.915323953929,120.040514019983,0.243645014276939
match_trust_all,Matchmaker dataset,matchmaker,16,174,Cut off,Cut off,16.1618930323083,0.999620517821451,47.835153206238,99.670306412476,105.988417010905,7.02215165580615e-05,38.271676970219,80.5433539404381,86.8614645388671,0.999620517821451,46.3526234863732,96.7052469727464,103.023357571175,0.000309260661991136
match_trust_all,Matchmaker dataset,matchmaker,17,143,Cost to sample,Cost to sample,5.57307198258951,0.926578967135784,57.3535904486615,118.707180897323,124.632870157843,0.926578967135784,61.3931921360781,126.786384272156,132.712073532676,0.0163119437737363,60.1401264399562,124.280252879912,130.205942140432,0.0571090890904798
match_trust_all,Matchmaker dataset,matchmaker,18,121,Cost to sample,Cost to sample,0.291455543041735,0.523066235276938,58.5924284780823,121.184856956165,126.776438047358,0.523066235276938,61.6413340145884,127.282668029177,132.87424912037,0.0247989810201353,58.7381562496031,121.476312499206,127.0678935904,0.452134783702927
match_trust_all,Matchmaker dataset,matchmaker,19,105,Cost to sample,Cost to sample,5.95825963117196,0.926796456120987,55.1986857573433,114.397371514687,119.705292215002,0.926796456120987,58.7689464330867,121.537892866173,126.845813566488,0.0260879440293219,58.1778155729293,120.355631145859,125.663551846174,0.0471155998496908
match_trust_all,Matchmaker dataset,matchmaker,20,173,Cost to sample,Cost to sample,3.45069487799255,0.839871106842766,48.9492195024724,101.898439004945,108.20502219394,0.839871106842766,53.327434852595,110.65486970519,116.961452894186,0.0105384775288987,50.6745669414687,105.349133882937,111.655717071933,0.149590415628336
match_trust_all,Trustworthiness dataset 1,trust_1,1,175,Cost to sample,Cost to sample,0.39029121404451,0.548632166163741,43.7878724087356,91.5757448174712,97.9053167653182,0.548632166163741,66.1776094896893,136.355218979379,142.684790927226,1.03643483426463e-10,43.9830180157578,91.9660360315157,98.2956079793627,0.451367833732615
match_trust_all,Trustworthiness dataset 1,trust_1,2,159,Biased prior,Biased prior,2.46971361460812,0.772697845429643,51.6720794855151,107.34415897103,113.481967375471,0.224759575883148,56.1539319675641,116.307863935128,122.445672339569,0.00254257868720961,50.437222678211,104.874445356422,111.012253760863,0.772697845429643
match_trust_all,Trustworthiness dataset 1,trust_1,3,152,Cost to sample,Cost to sample,1.2324080732608,0.649354646376103,41.7667913507052,87.5335827014104,93.581343743103,0.649354646376103,57.2690645109784,118.538129021957,124.585890063649,1.20207139316347e-07,42.3829953873356,88.7659907746712,94.8137518163638,0.350645233416758
match_trust_all,Trustworthiness dataset 1,trust_1,4,156,Biased prior,Biased prior,5.20020882881158,0.930866546391173,38.8707799543449,81.7415599086897,87.8412719231888,0.0691315705317711,49.3816395710729,102.763279142146,108.862991156645,1.88307705545282e-06,36.2706755399391,76.5413510798782,82.6410630943772,0.930866546391173
